PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
2460047,Baby Carrots Rianbow Color Pkt 200g,Fruits and Vegetables,Baby Fruit and Vegetables,Baby Vegetables,,,6.67,6.67,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-14T13:23:31.553,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0123/2460047.jpg,fruitsandvegetables
2460059,Baby Chicory,Fruits and Vegetables,Vegetables,Weighted Vegetables,Greens Products,,14.44,14.44,Each,1.0,kg,,Weighted,,,No,0.0,A,2022-04-30T10:06:03.913,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460045,Baby Patty Pan Pkt 200g,Fruits and Vegetables,Baby Fruit and Vegetables,Baby Vegetables,Greens Products,,6.45,6.45,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-14T13:23:31.53,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0123/2460045.jpg,fruitsandvegetables
2460722,Baby Roses Plantx12,Fruits and Vegetables,Flowers,Flowers,Greens Products,,55.0,55.0,Each,1.0,p,,Stock,,,No,0.0,A,2020-04-28T20:30:54.183,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2100633,Baby Spinach 350g,Fruits and Vegetables,Salads,Other Pre-Packed Salads,Greens Products,,5.5,5.5,Each,1.0,kg,,Stock,,,No,0.0,A,2019-08-07T16:39:54.91,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0439/2100633.jpg,fruitsandvegetables
2100718,Baby Spinach Washed 100g,Fruits and Vegetables,Salads,Other Pre-Packed Salads,,,1.98,1.98,Each,1.0,p,,Stock,,Italia,No,0.0,A,2018-09-14T13:17:08.223,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0117/2100718.jpg,fruitsandvegetables
2460046,Baby Turnips Pkt 200g,Fruits and Vegetables,Baby Fruit and Vegetables,Baby Vegetables,Greens Products,,5.41,5.41,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-14T13:23:22.467,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0123/2460046.jpg,fruitsandvegetables
2460174,Bambinella ( Foreign Bambinella ) By Kg,Fruits and Vegetables,Fruit,Apples and Pears,,,4.96,4.96,Each,1.0,p,,Weighted,,,No,0.0,A,2018-09-20T13:53:33.19,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0153/2460174.jpg,fruitsandvegetables
2460248,Banana ( Banana Leaves ) Per 500g,Fruits and Vegetables,Fruit,Banana,,,11.86,11.86,Each,1.0,kg,,Stock,,,No,0.0,A,2018-09-14T13:17:07.477,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0117/2460248.jpg,fruitsandvegetables
2460241,Banana Premium Per Kg,Fruits and Vegetables,Fruit,Banana,,,1.85,1.85,Each,1.0,p,,Weighted,,,No,0.0,A,2018-09-20T13:53:33.327,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0153/2460241.jpg,fruitsandvegetables
