PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
2440213,Carrot Cup Cake,Confectionery,Chocolates and Sweets,Sweets,,,1.9,1.9,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-18T13:32:25.223,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0132/2440213.jpg,confectionery
2440210,Carrot Muffin,Confectionery,Chocolates and Sweets,Sweets,,,1.0,1.0,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-18T13:32:25.197,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0132/2440210.jpg,confectionery
8005533044127,Casa Del Dolce Molly Mallow Bicolore 85g,Confectionery,Chocolates and Sweets,Marshmallows,Casa Del Dolce,,2.3,2.48,Each,0.09,kg,,Stock,,,No,0.0,A,2020-08-03T10:01:05.25,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1001/8005533044127.jpg,confectionery
8005533044134,Casa Del Dolce Molly Mallow Twist 85g,Confectionery,Chocolates and Sweets,Marshmallows,Casa Del Dolce,,2.3,2.48,Each,0.09,kg,,Stock,,,No,0.0,A,2020-08-03T10:01:05.25,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1001/8005533044134.jpg,confectionery
2440538,Casatella Siciliana Small 20cm,Confectionery,Chocolates and Sweets,Sweets,Greens Products,,28.0,28.0,Each,1.0,p,,Stock,,Malta,No,0.0,A,2020-08-16T14:11:26.78,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0211/2440538.jpg,confectionery
2440136,Cassata Siciliana 24cm,Confectionery,Chocolates and Sweets,Sweets,,,32.0,32.0,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-20T13:53:47.243,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0153/2440136.jpg,confectionery
40032400225,Catch Dark Chocolate 50g,Confectionery,Chocolates and Sweets,Chocolates,,,0.72,0.75,Each,0.05,kg,,Stock,,,No,0.0,A,2020-03-30T11:31:46.383,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1131/40032400225.jpg,confectionery
04003240008,Catch Milk Chocolate 50g,Confectionery,Chocolates and Sweets,Chocolates,,,0.72,0.75,Each,0.05,kg,,Stock,,,No,0.0,A,2018-09-14T13:15:19.16,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0115/04003240008.jpg,confectionery
4037719065705,Cavendish & Harvey Berry Candies Decorative Jar 300g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,3.36,3.5,Each,0.3,kg,,Stock,,,No,0.0,A,2021-01-15T11:00:53.617,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1100/4037719065705.jpg,confectionery
4037719065699,Cavendish & Harvey Citrus Candies Decorative Jar 300g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,3.36,3.5,Each,0.3,kg,,Stock,,,No,0.0,A,2023-07-03T13:38:09.877,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0138/4037719065699.jpg,confectionery
4013197767119,Cavendish & Harvey Clear Mint Drops 200g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,2.21,2.21,Each,0.2,kg,,Stock,,,No,0.0,A,2018-11-14T10:30:08.39,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1030/4013197767119.jpg,confectionery
4037719068195,Cavendish & Harvey Cola Drops 175g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,2.35,2.45,Each,0.18,kg,,Stock,,,No,0.0,A,2018-09-18T13:36:32.88,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0136/4037719068195.jpg,confectionery
4037719068515,Cavendish & Harvey Double Fruit Drops Blackcurrant With Apple Filling 175g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,2.35,2.45,Each,0.18,kg,,Stock,,,No,0.0,A,2023-07-03T13:38:09.86,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0138/4037719068515.jpg,confectionery
4037719068508,Cavendish & Harvey Double Fruit Drops Lemon With Strawberry Filling 175g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,2.35,2.45,Each,0.18,kg,,Stock,,,No,0.0,A,2023-07-03T13:38:09.847,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,confectionery
4037719068546,Cavendish & Harvey Double Fruit Drops Orange With Raspberry Filling 175g,Confectionery,Chocolates and Sweets,Sweets,Cavendish & Harvey,,2.35,2.45,Each,0.18,kg,,Stock,,,No,0.0,A,2023-07-03T13:38:09.86,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0138/4037719068546.jpg,confectionery
