PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,Image,scrape_tag
8006473901686,Amadori Qualita 10+ Fesa Di Tacchino A Fette 400g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,8.66,8.66,Each,0.4,p,Stock,,,No,https://www.greens.com.mt/media/products/0359/8006473901686.jpg,butcher
8006473901709,Amadori Qualita 10+ Fusi Di Pollo 450g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,3.41,3.94,Each,0.45,p,Stock,,,No,https://www.greens.com.mt/media/products/0412/8006473901709.jpg,butcher
8006473901693,Amadori Qualita 10+ Petto Di Pollo A Fette 400g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,6.82,6.82,Each,0.4,kg,Stock,,,No,https://www.greens.com.mt/media/products/0412/8006473901693.jpg,butcher
8006473904250,Amadori Qualita 10+ Sovracoscia Di Pollo Senza Pelle 450g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,3.99,4.72,Each,0.45,kg,Stock,,,No,https://www.greens.com.mt/media/products/0359/8006473904250.jpg,butcher
8006473029014,Amadori Salsiccia Di Tacchino E Pollo (sausgaes) 650g,Butcher,Sausages,Fixed Price Prepack Sausages,Amadori,Refrigerated,5.94,6.3,Each,0.65,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8006473905950,Amadori Salsiccia Pops 360gr,Butcher,Beef,Fresh Beef,Amadori,Refrigerated,4.18,4.18,Each,0.36,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8006473901341,Amadori Spicy Chicken Wings 500g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,5.2,5.78,Each,0.5,kg,Stock,,,No,https://www.greens.com.mt/media/products/0943/8006473901341.jpg,butcher
8006473901761,Amadori Tenders Chicken 280g,Butcher,Chicken,Frozen Chicken,Amadori,Refrigerated,4.99,5.4,Each,0.28,kg,Stock,,,No,https://www.greens.com.mt/media/products/0532/8006473901761.jpg,butcher
8006473903567,Amadori Thin Cutlet 300g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,3.41,3.41,Each,0.3,kg,Stock,,,No,https://www.greens.com.mt/media/products/0431/8006473903567.jpg,butcher
8006473019107,Amadri Chicken/turkey Hamburger Classico 204g,Butcher,Beef,Fresh Beef,Amadori,Refrigerated,2.2,3.15,Each,0.2,kg,Stock,,,No,https://www.greens.com.mt/media/products/0331/8006473019107.jpg,butcher
2481003,Tomato Pork Sausages,Butcher,Sausages,Fresh Sausages,,Refrigerated,8.99,8.99,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0832/2481003.jpg,butcher
2480604,Turkey Breast Sliced,Butcher,Turkey,Fresh Turkey,,Refrigerated,13.49,13.49,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/1212/2480604.jpg,butcher
2480609,Turkey Drumstick Stuffed,Butcher,Turkey,Fresh Turkey,,Refrigerated,9.5,9.5,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481537,Uruguay 200 Day Ribeye Grass Fed,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,32.5,32.5,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0231/2481537.jpg,butcher
2481563,Usda Aged Ribeye,Butcher,Beef,Fresh Beef,,Refrigerated,95.9,95.9,Each,1.0,kg,Weighted,,USA,No,https://www.greens.com.mt/media/products/0121/2481563.jpg,butcher
2481564,Usda Aged Sirlow,Butcher,Beef,Fresh Beef,,Refrigerated,63.98,63.98,Each,1.0,kg,Weighted,,USA,No,https://www.greens.com.mt/media/products/1209/2481564.jpg,butcher
